bt101,Modern Biology
bt202,Microbiology
bt202m,Molecular Biotechnology
bt205,Biophysics
bt208,Molecular Biology & Genetic Engineering
bt290,Biomolecular Analysis Lab
bt302,Biochemical Engineering
bt305,Industrial Microbiology
bt306,IPR and Ethics and Bio-safety
bt308,Animal Cell Biotechnology
bt330,Biochemical Engineering Laboratory
bt401,Frontiers in Biotechnology
bt499,Project II
bt502,Quantitative Biology
bt504,Biomolecular and Cellular Process Engineering
bt520,Applied Biology and Bio-engineering Lab
bt601,Analytical Biotechnology
bt605,Gene Therapy
bt609,Bioprocess Engineering
bt619,Essential of Genetics
bt622,Biofuels
bt630,Physical Cell Biology
bt699,Project and Thesis Phase II
ce201,Surveying
ce203,Fluid Mechanics
ce205,Structural Analysis I
ce206,Geotechnical Engg.
ce213,Surveying Lab
ce214,Fluid Mechanics Lab
ce215,Geotechnical Engineering Lab
ce304,Transportation Engg. I
ce307,Environmental Engg. I
ce308,Construction Technology and Management
ce309,Design of Steel Structure
ce311,Hydrology & Water Resources Engg
ce314,Transportation Engineering I Lab
ce315,Environmental Engineering I Lab
ce352m,Introduction to Geotechnical Engineering
ce402,Design Project
ce498,Project I
ce504,Advanced Structural Design
ce505,Analysis And Design Of Bridges
ce510,Quality And Safety Management In Construction
ce524,Biological Processes in Environmental Engg
ce525,Solid and Hazardous Waste Management
ce533,Advanced Foundation Engg.
ce534,Seminar
ce544,Project Management Laboratory
ce550,Project and Thesis Phase II
ce552,Water Resources Systems Analysis,Planning & Management
ce555,Principles of Water Quality & EIA
ce556,Subsurface Hydrology
ce559,Watershed Management & Remote Sensing Application
ce560,Computational Methods in Hydraulics & Environmental Engg.
ce570,River Engineering
ce583,Pavement Analysis and Design
ce584,Traffic Engineering
ce585,Credit Seminar
ce606,Earthquake Engineering
ce607,Random Vibration
ce610,Computational Structural Mechanics
ce612,Advanced Concrete Technology
ce613,Engineering Fracture and Fatigue Mechanics
ce614,Financing Infrastructure Projects
ce616,Blast and Impact Resistant Structures
ce618,Mechanics of Unsaturated Soils
ce623,Pavement Evaluation, Rehabilitation and Maintenance
ce628,Traffic Flow Modelling and Simulation
ce643,Earthquake Geotechnical Engg.
ce645,Soil-Structure Interaction
ce646,Rock Mechanics
ce649,Ground Improvement Techniques
ce661,Air Quality Modeling
ce664,Industrial Wastewater Pollution Control
ce665,Water Distribution and Wastewater Collection System Design
ce691,Project and Thesis Phase II
ce693,Project and Thesis Phase II
ce695,Project and Thesis Phase II
ce697,Project and Dissertation
ce699,Project and Thesis Phase II
ch212,Inorganic Chemistry
ch222,Applied Organic Chemistry
ch223,Chemical Technology Lab I
ch232,Computational Chemistry
ch233,Spectroscopic Techniques in Chemistry
ch322,Petroleum and Petrochemicals
ch323,Polymer Chemistry
ch333,Introduction to Chemical Thermodynamics and Equilibrium
ch334,Chemical Technology Lab III
